timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701436615312,2705,IndexRequest,200,OK,BugresistanceUsers 1-8,text,true,,2154,262,120,120,https://bugresistance.com/index.html,1230,0,732
1701436615700,842,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-33,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,842,0,343
1701436615312,1230,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-8,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,1230,0,732
1701436616543,1474,IndexRequest-1,200,OK,BugresistanceUsers 1-33,text,true,,1816,129,120,120,https://bugresistance.com/index.html,1474,0,1393
1701436616543,1474,IndexRequest-1,200,OK,BugresistanceUsers 1-8,text,true,,1816,129,120,120,https://bugresistance.com/index.html,1473,0,1393
1701436616214,1720,IndexRequest,200,OK,BugresistanceUsers 1-63,text,true,,2154,262,120,120,https://bugresistance.com/index.html,233,0,141
1701436616855,1065,IndexRequest,200,OK,BugresistanceUsers 1-101,text,true,,2154,262,120,120,https://bugresistance.com/index.html,859,0,791
1701436616855,859,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-101,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,859,0,791
1701436617163,756,IndexRequest,200,OK,BugresistanceUsers 1-119,text,true,,2154,262,120,120,https://bugresistance.com/index.html,527,0,458
1701436617715,205,IndexRequest-1,200,OK,BugresistanceUsers 1-101,text,true,,1816,129,120,120,https://bugresistance.com/index.html,205,0,144
1701436617163,527,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-119,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,527,0,458
1701436617109,810,IndexRequest,200,OK,BugresistanceUsers 1-116,text,true,,2154,262,120,120,https://bugresistance.com/index.html,574,0,501
1701436617109,575,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-116,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,574,0,501
1701436617081,828,IndexRequest,200,OK,BugresistanceUsers 1-114,text,true,,2154,262,120,120,https://bugresistance.com/index.html,602,0,528
1701436616516,1385,IndexRequest,200,OK,BugresistanceUsers 1-81,text,true,,2154,262,120,120,https://bugresistance.com/index.html,578,0,167
1701436617081,603,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-114,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,602,0,528
